cv_id,organization,position,status,startDate,endDate,linkedin
141,KnowBe4,Customer Success Manager,ACTIVE,2024-09,,https://www.linkedin.com/company/knowbe4
142,Luxottica Group,Trade Marketing Manager,ACTIVE,2012-04,,https://www.linkedin.com/company/luxottica
143,UBS,Head Currency Solutions,ACTIVE,2024-09,,https://www.linkedin.com/company/ubs
143,Credit Suisse Asset Management,Currency Overlay Manager,ACTIVE,2017-03,,
143,Swiss Bond Commission,Board Member,ACTIVE,2009,,
144,Artemis ITS,SVP Sales & Accounts,ACTIVE,2022-03,,https://www.linkedin.com/company/artemis-its
145,Copenhagen Color,Managing Director,ACTIVE,2020-07,,
146,Koop Bronbemaling B.V.,Construction site leader,ACTIVE,2011-04,,https://www.linkedin.com/company/koop-bronbemaling
147,"Center for Earth System Research and Sustainability, University of Hamburg",Data Manager,ACTIVE,2010-06,,
148,American Express,Vice President - Supplier Enablement CoE,ACTIVE,2024-07,,https://www.linkedin.com/company/american-express
148,American Express,Vice President - US Commercial Pricing,ACTIVE,2021-11,,https://www.linkedin.com/company/american-express
149,Stiftung Liebenau,Heimleiterin,ACTIVE,1998-10,,https://www.linkedin.com/company/stiftung-liebenau
150,Level 20,Chief Executive Officer,ACTIVE,2023-04,,https://www.linkedin.com/company/level20
150,UK Business Angels Association,Board Member,ACTIVE,2022-01,,https://www.linkedin.com/company/ukbaa
151,A4 Agentur AG,Inhaber und Geschäftsführer,ACTIVE,1992,,https://www.linkedin.com/company/a4-agentur
152,MHP – A Porsche Company,Senior Manager,ACTIVE,2023-07,,https://www.linkedin.com/company/mhp-a-porsche-company
153,Independence Seaport Museum,Director of Education,ACTIVE,2023-07,,https://www.linkedin.com/company/independence-seaport-museum
154,Baeza Jakob Hermanos Ltda,Gerente Comercial,ACTIVE,2019-01,,
156,Global Arts,Designer,ACTIVE,2014-01,,
156,Global Arts,Art Dealer,ACTIVE,2014-01,,
156,Global Arts +ai,Artificial Intelligence Pioneer,ACTIVE,2000-01,,
157,"Apex Tool Group, LLC",Gerente de RR.HH Mexico,ACTIVE,2024-02,,https://www.linkedin.com/company/apex-tool-group-llc
158,RB&W Manufacturing,Business Development & Key Account Manager,ACTIVE,2021-01,,https://www.linkedin.com/company/rb&w-manufacturing
160,CGI MAGIC MOVIE CORPORATION,CEO,ACTIVE,2000-04,,https://www.linkedin.com/company/cgi-magic-movie-corporation
161,Digital Realty,Quality Coordinator,ACTIVE,2022-12,,https://www.linkedin.com/company/digitalrealty
163,Söderberg & Partners Danmark,"Pensionskundechef / Account Executive - Global Employee Benefits, Corporate Pension",ACTIVE,2023-08,,https://www.linkedin.com/company/söderberg-and-partners-danmark
164,European Investment Bank (EIB),Principal Advisor,ACTIVE,2024-01,,https://www.linkedin.com/company/european-investment-bank
